X,Y,comment_,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
147.626119422,-37.827478168,,11,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BAIRNSDALE FIRE STATION CFA,OPERATIONAL,,BAIRNSDALE,VICTORIA,3875,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.82747816799997,147.6261194220001,,,GAVIC424450037,261 MAIN STREET,1,3875,BAIRNSDALE,2,-37.82745785999998,147.62612351000007
144.225254479,-37.600910756,,12,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BALLAN FIRE STATION CFA,OPERATIONAL,,BALLAN,VICTORIA,3342,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.60091075599996,144.2252544790001,,,GAVIC424238173,27-29 FISKEN STREET,0,3342,BALLAN,5,-37.60087570999997,144.22521323
143.843605786,-37.559998185,,13,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BALLARAT CITY FIRE STATION CFA,OPERATIONAL,,BALLARAT CENTRAL,VICTORIA,3350,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.55999818499998,143.843605786,,BALLARAT CENTRAL FIRE STATION,GAVIC421870235,1112-1120 STURT STREET,1,3350,BALLARAT CENTRAL,15,-37.55994907999997,143.84344780000004
143.868607056,-37.5639051379999,,14,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BALLARAT FIRE STATION CFA,OPERATIONAL,,BALLARAT EAST,VICTORIA,3350,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.56390513799994,143.8686070560001,,BALLARAT EAST FIRE STATION,GAVIC424253745,22 BARKLY STREET,1,3350,BALLARAT EAST,21,-37.563784709999936,143.86878854000008
145.706179299,-37.2529438409999,,15,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ACHERON FIRE STATION CFA,OPERATIONAL,,ACHERON,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.25294384099993,145.70617929900004,,,GAVIC422169386,29 MCCOLL LANE,1,3714,ACHERON,8,-37.25288784999998,145.7061154800001
144.1044378,-38.456047359,,16,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AIREYS INLET FIRE STATION CFA,OPERATIONAL,,AIREYS INLET,VICTORIA,3231,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.45604735899997,144.10443780000003,,,GAVIC419937927,26 PEARSE ROAD,1,3231,AIREYS INLET,11,-38.45598271999995,144.10435070000005
146.589151609,-38.6051158229999,,17,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALBERTON WEST FIRE STATION CFA,OPERATIONAL,,ALBERTON WEST,VICTORIA,3971,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.60511582299995,146.58915160900006,,,GAVIC422303407,333 LANES ROAD,0,3971,ALBERTON WEST,9,-38.60519520999998,146.58911666000006
145.709347697,-37.1836956619999,,18,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALEXANDRA FIRE STATION CFA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.183695661999934,145.7093476970001,,,GAVIC420014576,2 SHAMROCK STREET,1,3714,ALEXANDRA,9,-37.18365062999993,145.70926435
146.049017998,-38.318062002,,19,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLAMBEE FIRE STATION CFA,OPERATIONAL,,ALLAMBEE RESERVE,VICTORIA,3871,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.31806200199998,146.04901799800007,,,GAVIC422171947,945 MIRBOO-YARRAGON ROAD,1,3871,ALLAMBEE RESERVE,9,-38.318067749999955,146.04911620000007
146.916968355,-36.278804744,,20,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLANS FLAT FIRE STATION CFA,OPERATIONAL,,ALLANS FLAT,VICTORIA,3691,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.278804743999956,146.9169683550001,,,GAVIC423165339,48 GAP FLAT ROAD,0,3691,ALLANS FLAT,11,-36.278891999999985,146.9169220000001
142.597463163,-38.386257886,,21,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLANSFORD FIRE STATION CFA,OPERATIONAL,,ALLANSFORD,VICTORIA,3277,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.38625788599995,142.59746316300004,,,GAVIC420252068,61 ZIEGLER PARADE,1,3277,ALLANSFORD,3,-38.38623014999996,142.59746145000008
146.953796356,-36.1889540019999,,22,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BARANDUDA FIRE STATION CFA,OPERATIONAL,,BARANDUDA,VICTORIA,3691,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.188954001999946,146.9537963560001,,,GAVIC422204715,102 WODONGA-YACKANDANDAH ROAD,2,3691,BARANDUDA,23,-36.18875146999994,146.95382976000008
142.027159,-36.297613004,,23,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANTWERP FIRE STATION CFA,OPERATIONAL,,ANTWERP,VICTORIA,3414,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.29761300399997,142.0271590000001,,,GAVIC719313906,12 ANTWERP-WARRACKNABEAL ROAD,0,3414,ANTWERP,67,-36.29775300999995,142.02643581000007
143.668249898,-38.756610985,,24,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APOLLO BAY FIRE STATION CFA,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.75661098499995,143.6682498980001,,,GAVIC414156058,28 PASCOE STREET,1,3233,APOLLO BAY,2,-38.756606329999954,143.66823335000004
143.869278259,-35.925508742,,25,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APPIN SOUTH FIRE STATION CFA,OPERATIONAL,,APPIN SOUTH,VICTORIA,3579,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-35.92550874199998,143.8692782590001,,,GAVIC425335584,1150 APPIN SOUTH ROAD,1,3579,APPIN SOUTH,6,-35.92555367999995,143.86923400000012
141.083153997,-36.967595987,,26,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APSLEY FIRE STATION CFA,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.96759598699998,141.08315399700007,,,GAVIC423713106,11 SPLATT STREET,1,3319,APSLEY,12,-36.96768800999996,141.0832226000001
141.16011362,-37.0027558319999,,27,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BRINGALBERT SOUTH FIRE STATION CFA,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.002755831999934,141.16011362000006,,,GAVIC425626027,1342 WIMMERA HIGHWAY,1,3319,APSLEY,0,-37.00275524999995,141.16011619000005
142.932010924,-37.2883621509999,,28,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARARAT FIRE STATION CFA,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.288362150999944,142.9320109240001,,,GAVIC720347897,8-10 TUSON STREET,0,3377,ARARAT,2,-37.288350589999936,142.93203260000007
145.333074018,-36.5633138429999,,29,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARCADIA FIRE STATION CFA,OPERATIONAL,,ARCADIA,VICTORIA,3631,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.563313842999946,145.33307401800005,,,GAVIC420959326,12 MAIN ROAD,1,3631,ARCADIA,4,-36.56327699999997,145.33305785000005
142.632237689,-36.266124255,,30,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AREEGRA FIRE STATION CFA,OPERATIONAL,,AREEGRA,VICTORIA,3480,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.266124254999966,142.63223768900002,,,GAVIC422187554,1898 RUPANYUP ROAD,1,3480,AREEGRA,4,-36.266100879999954,142.6322012500001
145.207282452,-37.5840863459999,,31,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARTHURS CREEK FIRE STATION CFA,OPERATIONAL,,ARTHURS CREEK,VICTORIA,3099,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.584086345999935,145.20728245200007,,,GAVIC423751439,834 HURSTBRIDGE-ARTHURS CREEK ROAD,1,3099,ARTHURS CREEK,13,-37.58398168999997,145.20721216000004
143.799338996,-37.396130001,,32,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ASCOT & DISTRICT FIRE STATION CFA,OPERATIONAL,,ASCOT,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.39613000099996,143.79933899600007,,ASCOT TENNIS COURTS,GAVIC423700094,47 ASCOT HALL ROAD,0,3364,ASCOT,5,-37.39610253999996,143.79938073000005
145.229830397,-36.895689009,,33,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVENEL FIRE STATION CFA,OPERATIONAL,,AVENEL,VICTORIA,3664,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.895689008999966,145.22983039700011,,,GAVIC424761808,16 QUEEN STREET,1,3664,AVENEL,12,-36.89577830999997,145.22976040000003
143.475542005,-37.0885989989999,,34,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVOCA FIRE STATION CFA,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.08859899899994,143.47554200500008,,,GAVIC421496886,90 RUTHERFORD STREET,1,3467,AVOCA,20,-37.08862814999998,143.47532401
144.387226373,-36.8419177609999,,35,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AXE CREEK FIRE STATION CFA,OPERATIONAL,,AXE CREEK,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.841917760999934,144.3872263730001,,,GAVIC719210052,145 PATONS ROAD,2,3551,AXE CREEK,22,-36.841830519999974,144.38700931000005
144.499671001,-36.785482997,,36,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AXEDALE FIRE STATION CFA,OPERATIONAL,,AXEDALE,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.785482996999974,144.49967100100002,,,GAVIC425688502,22 SHADFORTH STREET,1,3551,AXEDALE,16,-36.785563449999984,144.4995289300001
144.434381996,-37.675613004,,37,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BACCHUS MARSH FIRE STATION CFA,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.675613003999956,144.43438199600007,,BACCHUS MARSH FIRE STATION,GAVIC424242032,93-95 MAIN STREET,0,3340,BACCHUS MARSH,7,-37.67556324999998,144.43433770000001
145.411221624,-38.0039795,,38,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BEACONSFIELD UPPER FIRE STATION CFA,OPERATIONAL,,BEACONSFIELD UPPER,VICTORIA,3808,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.00397949999996,145.41122162400006,,,GAVIC420519201,30 BEACONSFIELD-EMERALD ROAD,1,3808,BEACONSFIELD UPPER,18,-38.00399900999997,145.4110240000001
143.551007532,-36.789812437,,39,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BEALIBA FIRE STATION CFA,OPERATIONAL,,BEALIBA,VICTORIA,3475,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.789812436999966,143.55100753200009,,,GAVIC422151560,8 GRANT STREET,1,3475,BEALIBA,6,-36.78984013999997,143.55095326000003
145.337822004,-35.900015996,,40,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,STRATHMERTON SATELLITE FIRE STATION (BEARII) CFA,OPERATIONAL,,BEARII,VICTORIA,3641,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-35.90001599599998,145.33782200400003,,,GAVIC719112997,25 WILLIAMS STREET,0,3641,BEARII,94,-35.899231939999936,145.33743855000012
143.598499873,-35.612509998,,41,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BEAUCHAMP FIRE STATION CFA,OPERATIONAL,,BEAUCHAMP,VICTORIA,3579,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-35.61250999799995,143.59849987300004,,,GAVIC719211564,650 MYSTIC PARK-BEAUCHAMP ROAD,0,3579,BEAUCHAMP,14,-35.61240389999995,143.59857651000004
143.382385513,-37.4302808859999,,42,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BEAUFORT FIRE STATION CFA,OPERATIONAL,,BEAUFORT,VICTORIA,3373,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.430280885999935,143.38238551300003,,,GAVIC424782235,10 FLYNN STREET,0,3373,BEAUFORT,7,-37.430308829999944,143.3823114500001
143.182821618,-36.6881589989999,,43,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BEAZLEYS BRIDGE FIRE STATION CFA,OPERATIONAL,,BEAZLEYS BRIDGE,VICTORIA,3477,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.68815899899994,143.18282161800005,,BEAZLEYS BRIDGE CFA SHED,GAVIC422030000,19 SANDY CREEK ROAD,1,3477,BEAZLEYS BRIDGE,18,-36.688308879999965,143.18275075000008
143.638431132,-38.1934770089999,,44,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BEEAC FIRE STATION CFA,OPERATIONAL,,BEEAC,VICTORIA,3251,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.193477008999935,143.63843113200005,,,GAVIC414159670,13 LANG STREET,1,3251,BEEAC,14,-38.19348967999997,143.63827455000012
145.985822135,-36.551923572,,45,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BENALLA FIRE STATION CFA,OPERATIONAL,,BENALLA,VICTORIA,3672,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.551923571999964,145.98582213500003,,FIRE STATION HOUSE,GAVIC423140318,20 FAWCKNER DRIVE,1,3672,BENALLA,21,-36.55203419999998,145.98563735000005
147.704062998,-36.955465003,,46,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BENAMBRA FIRE STATION CFA,OPERATIONAL,,BENAMBRA,VICTORIA,3900,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.95546500299997,147.70406299800004,,,GAVIC424238316,78 FOSTER STREET,0,3900,BENAMBRA,0,-36.95546490999993,147.70406274000004
141.006855003,-36.834084999,,47,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BENAYEO FIRE STATION CFA,OPERATIONAL,,BENAYEO,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.83408499899997,141.00685500300006,,,GAVIC422127938,1640 BENAYEO ROAD,0,3319,BENAYEO,33,-36.83380807999998,141.00698280000006
145.285488005,-37.7006889959999,,48,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,CHRISTMAS HILLS SATELLITE FIRE STATION (BEND OF ISLANDS) CFA,OPERATIONAL,,BEND OF ISLANDS,VICTORIA,3097,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.70068899599994,145.28548800500005,,,GAVIC421365991,6 CATANI BOULEVARD,1,3097,BEND OF ISLANDS,4,-37.70067665999994,145.2854435900001
